,feature,importance
299,loc_kladruby,7.876212427344742e-05
209,loc_hermanuv,7.851000752116539e-05
146,loc_chotebor,7.519327910636741e-05
704,loc_varnsdorf,7.448616570299915e-05
439,loc_moravske,7.442053276842639e-05
502,loc_pecky,7.305681278632076e-05
95,loc_boskovice,7.170096462155196e-05
326,loc_kralova,7.1538523309092e-05
646,loc_susice,7.100420778832085e-05
672,loc_trebon,6.94343533262195e-05
435,loc_mohelnice,6.870588937702735e-05
143,loc_chodov,6.825099360479102e-05
637,loc_strelice,6.708721912325782e-05
214,loc_hluboka,6.68627136184141e-05
752,loc_zabreh,6.63452381811652e-05
538,loc_prestice,6.59964546739634e-05
510,loc_plana,6.597667706673435e-05
570,loc_rosice,6.461767497514789e-05
349,loc_kynsperk,6.427957440228458e-05
314,loc_koprivnice,6.195879935459619e-05
94,loc_borsov,6.119873937560313e-05
641,loc_stvolinky,6.105120005148784e-05
67,loc_benatky,6.082388869425191e-05
467,loc_nyrany,5.986570328121133e-05
395,loc_loucovice,5.954557786774139e-05
482,loc_opocno,5.9439846383854636e-05
167,loc_dasice,5.86914286921201e-05
267,loc_jemnice,5.842110599808352e-05
565,loc_ritka,5.6885246408620655e-05
415,loc_menin,5.646040482367558e-05
404,loc_lustenice,5.641051173948839e-05
396,loc_lounovice,5.5823624446147464e-05
189,loc_duchcov,5.5643950001860194e-05
754,loc_zacler,5.5021598885079576e-05
148,loc_chotevice,5.396687098399845e-05
778,loc_zidlochovice,5.3943038840089526e-05
121,loc_bystrice,5.290295703523951e-05
224,loc_horicky,5.2312251463945996e-05
573,loc_rousinov,5.225909726575009e-05
234,loc_hostomice,5.202056252013181e-05
114,loc_brumovice,5.1821373481225436e-05
448,loc_nehvizdy,5.136676667908087e-05
191,loc_dvur,5.1265375130741924e-05
133,loc_cerveny,5.0866239007402266e-05
627,loc_steti,5.085197983290933e-05
174,loc_dobris,5.084958934658672e-05
54,loc_adamov,5.082681128014507e-05
777,loc_zelezna,5.076705924169236e-05
416,loc_mesto,5.0467996866190137e-05
664,loc_terlicko,4.9802548755882886e-05
443,loc_mukarov,4.939572277515803e-05
197,loc_frydlant,4.9215093637012e-05
279,loc_jinocany,4.91630167453992e-05
657,loc_tachov,4.8795321860228895e-05
364,loc_lhota,4.860251414248984e-05
221,loc_holubice,4.8417540752802204e-05
315,loc_korenov,4.7603794906961325e-05
472,loc_ohrazenice,4.701933202243257e-05
182,loc_domazlice,4.698958889521678e-05
648,loc_sveti,4.638407075068857e-05
452,loc_nepomuk,4.539760925155547e-05
630,loc_stonava,4.523593280089705e-05
621,loc_stary,4.467454343806438e-05
705,loc_vcelna,4.430167608637514e-05
356,loc_lazne,4.3789044881654766e-05
446,loc_namest,4.3773929344557936e-05
718,loc_vetrni,4.3570894102041236e-05
732,loc_vracov,4.350067434995051e-05
773,loc_zebrak,4.3451878273160295e-05
231,loc_hosteradice,4.308191277075767e-05
663,loc_terezin,4.197059348837932e-05
526,loc_porici,4.191544564629833e-05
501,loc_pec,4.1647687861096305e-05
693,loc_unicov,4.1502182550942275e-05
27,post_office,4.147977233660285e-05
118,loc_budisov,4.135164188405679e-05
597,loc_skutec,4.075864487018094e-05
83,loc_bohumin,4.0678446577614175e-05
229,loc_horsovsky,4.0348783946262426e-05
417,loc_mezibori,4.03454259240954e-05
141,loc_chocen,4.022922466458492e-05
488,loc_ostopovice,4.0227284989114975e-05
658,loc_tanvald,3.984466183548229e-05
499,loc_paskov,3.911394846039241e-05
469,loc_obruby,3.8743146848959674e-05
545,loc_prosec,3.8502912415899574e-05
110,loc_brod,3.81382249373103e-05
370,loc_libeznice,3.811908950492182e-05
634,loc_straznice,3.800869918161874e-05
55,loc_albrechtice,3.7826272299299794e-05
710,loc_veletiny,3.7754088822537986e-05
491,loc_ostrov,3.749555993563262e-05
536,loc_prelouc,3.747567389583787e-05
668,loc_tlumacov,3.7390935765833615e-05
113,loc_brozany,3.702902912233256e-05
103,loc_braskov,3.647598585937525e-05
228,loc_horovice,3.642619568704081e-05
424,loc_mimon,3.636032689056401e-05
770,loc_zdiby,3.6326421002846636e-05
378,loc_line,3.58857326110722e-05
111,loc_brodek,3.53419796238709e-05
528,loc_potehy,3.524949559440525e-05
358,loc_ledec,3.505751333119495e-05
311,loc_komarov,3.4880872574613663e-05
548,loc_pysely,3.475739552966033e-05
674,loc_trest,3.468905009791336e-05
667,loc_tlucna,3.4045388370113125e-05
763,loc_zavisice,3.397920519074452e-05
712,loc_velim,3.3597558730888965e-05
151,loc_chrastava,3.331833970627057e-05
87,loc_bohutin,3.330574632073882e-05
108,loc_brnirov,3.2843429470702454e-05
187,loc_dubi,3.277602819200419e-05
669,loc_touzim,3.244789325382102e-05
522,loc_policka,3.2159224727913966e-05
703,loc_vamberk,3.2048340402555734e-05
480,loc_opatovice,3.193916660397294e-05
636,loc_stredokluky,3.174070723974939e-05
505,loc_perstejn,3.135984110229959e-05
609,loc_sokolnice,3.11987718562313e-05
521,loc_polepy,3.1138749729221094e-05
504,loc_pencin,3.055005012035722e-05
107,loc_bridlicna,2.9960430793490993e-05
774,loc_zelechovice,2.9853314940567376e-05
736,loc_vratimov,2.9561729992878734e-05
53,loc_abertamy,2.9321662133313794e-05
394,loc_loucna,2.9314592341399303e-05
589,loc_sedlcany,2.9165287527395166e-05
140,loc_chlumec,2.9156594771902045e-05
392,loc_lomnice,2.910325361432073e-05
78,loc_blatna,2.902746262802124e-05
159,loc_cicovice,2.8839716584168196e-05
530,loc_prachatice,2.8688176635832006e-05
170,loc_dobrany,2.8537462421183042e-05
